"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)"
01.07.2016 03:00:00,988.90,15.84,289.92,12.31,79.50,18.02,14.33,3.70,9.06,14.49,1185.49,2.76,3.24,219.60
01.07.2016 03:10:00,988.83,15.37,289.46,12.15,81.10,17.49,14.18,3.31,8.97,14.34,1187.40,2.04,3.28,211.40
01.07.2016 03:20:00,988.89,14.88,288.96,12.30,84.50,16.95,14.32,2.63,9.06,14.48,1189.43,1.40,2.28,167.40
01.07.2016 03:30:00,988.99,14.71,288.78,12.54,86.80,16.76,14.55,2.21,9.20,14.71,1190.15,1.10,1.96,133.00
01.07.2016 03:40:00,989.02,14.62,288.69,12.55,87.40,16.66,14.56,2.10,9.21,14.73,1190.55,0.60,0.92,49.64
01.07.2016 03:50:00,989.18,14.61,288.67,12.54,87.40,16.65,14.56,2.10,9.20,14.71,1190.79,1.02,1.46,53.21
01.07.2016 04:00:00,989.30,14.77,288.82,12.61,86.90,16.83,14.62,2.20,9.25,14.78,1190.24,0.86,1.34,78.90
01.07.2016 04:10:00,989.36,14.84,288.88,12.56,86.20,16.90,14.57,2.33,9.21,14.73,1190.05,0.74,1.68,106.20
01.07.2016 04:20:00,989.37,14.80,288.84,12.50,86.10,16.86,14.52,2.34,9.18,14.67,1190.25,0.70,1.88,177.20
01.07.2016 04:30:00,989.37,14.83,288.87,12.48,85.80,16.89,14.49,2.40,9.16,14.65,1190.14,1.21,2.06,191.30
01.07.2016 04:40:00,989.30,15.00,289.05,12.48,84.90,17.08,14.50,2.58,9.17,14.66,1189.35,0.96,1.84,191.10
01.07.2016 04:50:00,989.24,15.21,289.26,12.56,84.20,17.31,14.58,2.74,9.22,14.73,1188.38,0.64,1.16,186.50
01.07.2016 05:00:00,989.26,15.60,289.65,12.64,82.50,17.75,14.64,3.11,9.26,14.80,1186.77,0.96,2.56,196.30
01.07.2016 05:10:00,989.30,15.84,289.89,12.53,80.70,18.02,14.55,3.48,9.20,14.70,1185.87,0.78,1.36,182.80
01.07.2016 05:20:00,989.35,16.17,290.22,12.74,80.10,18.41,14.75,3.66,9.32,14.90,1184.49,0.98,1.94,204.90
01.07.2016 05:30:00,989.45,16.60,290.64,12.93,78.90,18.92,14.93,3.99,9.44,15.09,1182.77,1.62,2.44,213.10
01.07.2016 05:40:00,989.47,17.22,291.26,13.08,76.60,19.68,15.07,4.60,9.53,15.23,1180.20,1.10,2.04,188.40
01.07.2016 05:50:00,989.54,17.76,291.80,13.28,75.00,20.36,15.27,5.09,9.66,15.43,1178.01,0.65,1.68,131.90
01.07.2016 06:00:00,989.53,17.58,291.62,13.22,75.60,20.13,15.22,4.91,9.62,15.38,1178.75,1.12,1.80,120.70
01.07.2016 06:10:00,989.57,17.83,291.86,13.30,74.80,20.45,15.30,5.15,9.67,15.46,1177.75,1.04,2.88,120.30
01.07.2016 06:20:00,989.65,17.80,291.83,13.19,74.40,20.41,15.19,5.23,9.60,15.35,1178.01,1.64,2.52,175.10
01.07.2016 06:30:00,989.69,17.73,291.75,13.25,75.00,20.32,15.24,5.08,9.64,15.40,1178.32,1.46,3.00,182.90
01.07.2016 06:40:00,989.73,18.42,292.44,13.50,73.00,21.22,15.49,5.73,9.80,15.65,1175.47,1.44,2.40,158.20
01.07.2016 06:50:00,989.73,19.24,293.26,13.75,70.50,22.34,15.75,6.59,9.96,15.91,1172.05,1.94,3.10,159.50
01.07.2016 07:00:00,989.72,19.89,293.92,13.96,68.64,23.26,15.97,7.29,10.10,16.13,1169.34,2.49,4.48,176.60
01.07.2016 07:10:00,989.68,20.18,294.21,13.67,66.17,23.68,15.67,8.01,9.91,15.83,1168.27,5.29,7.29,201.60
01.07.2016 07:20:00,989.68,20.30,294.33,13.70,65.82,23.86,15.70,8.15,9.93,15.87,1167.78,4.64,7.05,201.20
01.07.2016 07:30:00,989.61,20.45,294.49,13.78,65.54,24.08,15.78,8.30,9.98,15.95,1167.07,4.63,6.45,198.00
01.07.2016 07:40:00,989.61,20.77,294.81,13.96,65.01,24.56,15.97,8.59,10.10,16.13,1165.71,3.99,5.85,199.80
01.07.2016 07:50:00,989.58,21.00,295.04,13.96,64.11,24.91,15.97,8.94,10.10,16.14,1164.77,4.22,6.59,206.80
01.07.2016 08:00:00,989.53,21.34,295.39,14.06,63.20,25.43,16.07,9.36,10.17,16.24,1163.31,3.80,5.81,196.90
01.07.2016 08:10:00,989.52,21.24,295.29,13.92,63.00,25.28,15.93,9.35,10.07,16.09,1163.76,5.27,8.97,215.30
01.07.2016 08:20:00,989.41,21.31,295.37,13.97,62.94,25.39,15.98,9.41,10.11,16.15,1163.33,5.30,7.69,204.60
01.07.2016 08:30:00,989.42,21.50,295.56,14.07,62.60,25.69,16.08,9.61,10.17,16.25,1162.55,5.09,8.25,204.20
01.07.2016 08:40:00,989.41,21.72,295.78,13.79,60.65,26.03,15.79,10.24,9.99,15.96,1161.80,6.26,8.81,211.40
01.07.2016 08:50:00,989.42,21.89,295.95,13.49,58.89,26.30,15.49,10.81,9.80,15.66,1161.28,6.94,11.05,217.70
01.07.2016 09:00:00,989.36,22.08,296.14,13.71,59.02,26.61,15.71,10.91,9.93,15.87,1160.36,6.33,9.09,210.90
01.07.2016 09:10:00,989.39,22.03,296.09,13.41,58.05,26.53,15.40,11.13,9.74,15.57,1160.73,6.52,10.73,219.40
01.07.2016 09:20:00,989.37,22.18,296.24,13.51,57.91,26.77,15.50,11.27,9.81,15.67,1160.07,5.28,8.81,217.60
01.07.2016 09:30:00,989.30,22.40,296.47,13.53,57.22,27.13,15.53,11.61,9.82,15.69,1159.12,6.12,8.73,212.40
01.07.2016 09:40:00,989.26,22.45,296.52,13.36,56.41,27.22,15.35,11.86,9.71,15.52,1158.95,7.27,9.57,206.10
01.07.2016 09:50:00,989.25,22.58,296.66,13.49,56.46,27.43,15.49,11.94,9.80,15.66,1158.37,6.39,9.09,202.60
01.07.2016 10:00:00,989.29,22.95,297.02,13.57,55.48,28.05,15.56,12.49,9.84,15.73,1156.93,6.21,9.37,206.90
01.07.2016 10:10:00,989.30,22.98,297.05,13.38,54.69,28.11,15.37,12.73,9.72,15.54,1156.91,7.29,9.49,208.40
01.07.2016 10:20:00,989.28,22.99,297.06,13.44,54.87,28.12,15.43,12.69,9.76,15.60,1156.83,6.36,9.61,211.70
01.07.2016 10:30:00,989.21,23.36,297.44,13.50,53.88,28.76,15.49,13.26,9.80,15.66,1155.27,6.46,8.77,207.70
01.07.2016 10:40:00,989.19,23.50,297.58,13.36,52.94,29.00,15.35,13.65,9.71,15.52,1154.77,6.82,9.31,206.70
01.07.2016 10:50:00,989.28,23.73,297.81,13.44,52.49,29.41,15.44,13.97,9.76,15.60,1153.94,6.45,9.37,216.40
01.07.2016 11:00:00,989.29,23.59,297.67,13.48,53.06,29.16,15.47,13.69,9.79,15.64,1154.48,4.50,8.39,222.30
01.07.2016 11:10:00,989.29,23.53,297.61,13.46,53.20,29.05,15.46,13.60,9.78,15.62,1154.72,4.72,7.35,222.10
01.07.2016 11:20:00,989.22,24.01,298.09,13.46,51.68,29.90,15.45,14.45,9.78,15.62,1152.77,5.11,9.61,208.20
01.07.2016 11:30:00,989.22,23.73,297.81,13.27,51.90,29.41,15.26,14.14,9.65,15.43,1153.95,5.83,7.69,202.00
01.07.2016 11:40:00,989.14,24.06,298.15,13.50,51.65,29.99,15.49,14.50,9.80,15.66,1152.47,5.26,7.91,205.10
01.07.2016 11:50:00,989.06,23.90,298.00,12.99,50.44,29.71,14.98,14.72,9.48,15.15,1153.22,6.02,8.77,213.00
01.07.2016 12:00:00,988.99,23.67,297.77,13.11,51.57,29.30,15.11,14.19,9.56,15.28,1153.98,4.95,6.85,211.60
01.07.2016 12:10:00,988.92,23.90,298.01,13.08,50.74,29.71,15.07,14.63,9.54,15.24,1153.02,4.88,6.68,207.40
01.07.2016 12:20:00,988.86,24.32,298.43,13.05,49.40,30.47,15.05,15.42,9.52,15.22,1151.33,6.29,9.17,211.30
01.07.2016 12:30:00,988.78,24.51,298.63,13.06,48.85,30.81,15.05,15.76,9.52,15.22,1150.50,5.39,7.69,197.10
01.07.2016 12:40:00,988.70,24.96,299.09,13.01,47.41,31.65,15.01,16.65,9.50,15.18,1148.69,5.54,9.49,203.00
01.07.2016 12:50:00,988.62,25.33,299.47,13.05,46.51,32.36,15.05,17.31,9.52,15.22,1147.15,5.98,8.83,206.90
01.07.2016 13:00:00,988.59,25.00,299.14,13.02,47.33,31.73,15.02,16.71,9.50,15.19,1148.40,4.32,8.17,213.90
01.07.2016 13:10:00,988.49,25.18,299.33,13.41,48.04,32.07,15.41,16.66,9.75,15.59,1147.42,4.22,5.92,195.20
01.07.2016 13:20:00,988.41,25.50,299.66,13.64,47.84,32.68,15.64,17.05,9.90,15.82,1146.00,5.76,9.97,212.60
01.07.2016 13:30:00,988.32,25.52,299.69,13.29,46.70,32.72,15.28,17.44,9.67,15.46,1145.97,6.52,9.85,193.90
01.07.2016 13:40:00,988.37,25.05,299.21,12.85,46.68,31.82,14.85,16.97,9.40,15.03,1148.03,6.64,9.69,215.80
01.07.2016 13:50:00,988.41,24.88,299.04,13.28,48.49,31.50,15.28,16.23,9.67,15.45,1148.54,5.17,7.53,213.00
01.07.2016 14:00:00,988.35,25.41,299.57,12.78,45.46,32.51,14.78,17.73,9.35,14.95,1146.65,5.70,8.73,223.20
01.07.2016 14:10:00,988.31,25.10,299.26,12.40,45.19,31.92,14.42,17.49,9.13,14.59,1147.95,6.21,8.25,209.60
01.07.2016 14:20:00,988.27,25.10,299.27,13.11,47.34,31.92,15.11,16.81,9.56,15.29,1147.60,4.54,6.91,219.50
01.07.2016 14:30:00,988.24,25.18,299.35,13.19,47.34,32.07,15.18,16.89,9.61,15.36,1147.23,5.67,9.09,216.00
01.07.2016 14:40:00,988.25,25.02,299.19,12.89,46.88,31.77,14.89,16.87,9.43,15.07,1147.98,5.38,8.29,217.40
01.07.2016 14:50:00,988.24,25.14,299.31,13.29,47.79,31.99,15.29,16.70,9.68,15.47,1147.34,4.02,6.40,208.80
01.07.2016 15:00:00,988.19,25.60,299.78,13.24,46.34,32.88,15.24,17.64,9.65,15.42,1145.53,5.52,9.05,208.10
01.07.2016 15:10:00,988.14,25.69,299.87,13.29,46.23,33.05,15.28,17.77,9.68,15.46,1145.11,4.83,7.00,203.70
01.07.2016 15:20:00,988.06,25.63,299.82,13.53,47.14,32.94,15.53,17.41,9.83,15.71,1145.14,4.93,6.50,200.60
01.07.2016 15:30:00,988.09,25.53,299.72,13.59,47.60,32.74,15.59,17.16,9.87,15.77,1145.53,4.62,6.56,215.60
01.07.2016 15:40:00,988.04,25.64,299.83,13.65,47.48,32.96,15.65,17.31,9.91,15.84,1145.02,5.23,7.28,203.20
01.07.2016 15:50:00,987.90,25.23,299.43,13.72,48.88,32.16,15.72,16.44,9.96,15.91,1146.40,5.38,7.28,199.80
01.07.2016 16:00:00,987.79,25.43,299.64,13.75,48.39,32.55,15.75,16.80,9.98,15.95,1145.49,4.32,6.44,202.20
01.07.2016 16:10:00,987.75,26.11,300.33,13.76,46.51,33.89,15.76,18.13,9.98,15.96,1142.84,5.34,7.69,213.00
01.07.2016 16:20:00,987.69,25.98,300.20,13.20,45.19,33.63,15.20,18.43,9.63,15.39,1143.51,6.39,10.61,221.60
01.07.2016 16:30:00,987.65,25.89,300.11,13.35,45.88,33.45,15.35,18.10,9.72,15.54,1143.75,5.17,8.29,225.40
01.07.2016 16:40:00,987.56,26.15,300.38,13.67,46.12,33.97,15.67,18.30,9.93,15.86,1142.51,4.42,7.00,228.60
01.07.2016 16:50:00,987.46,26.16,300.40,13.40,45.31,33.99,15.40,18.59,9.76,15.59,1142.47,5.30,7.93,212.50
01.07.2016 17:00:00,987.42,26.05,300.30,13.29,45.27,33.77,15.29,18.48,9.69,15.48,1142.89,5.13,6.68,218.40
01.07.2016 17:10:00,987.40,26.36,300.61,13.49,45.04,34.39,15.49,18.90,9.82,15.69,1141.60,4.60,6.48,222.30
01.07.2016 17:20:00,987.36,26.42,300.67,13.57,45.12,34.51,15.57,18.94,9.87,15.77,1141.29,5.41,7.77,220.90
01.07.2016 17:30:00,987.27,26.38,300.64,13.31,44.44,34.43,15.30,19.13,9.70,15.50,1141.45,5.46,8.61,209.60
01.07.2016 17:40:00,987.20,26.26,300.53,13.27,44.66,34.19,15.27,18.92,9.68,15.47,1141.84,5.62,9.73,216.70
01.07.2016 17:50:00,987.17,26.34,300.61,13.36,44.70,34.35,15.35,18.99,9.73,15.55,1141.47,4.61,7.02,215.80
01.07.2016 18:00:00,987.20,26.08,300.34,13.15,44.77,33.83,15.14,18.68,9.60,15.34,1142.58,5.31,8.01,228.00
01.07.2016 18:10:00,987.26,26.04,300.30,13.23,45.11,33.75,15.22,18.52,9.65,15.42,1142.77,4.21,6.04,228.10
01.07.2016 18:20:00,987.26,26.06,300.32,13.31,45.30,33.79,15.31,18.48,9.70,15.50,1142.66,4.41,6.44,223.50
01.07.2016 18:30:00,987.32,26.08,300.33,13.37,45.42,33.83,15.36,18.46,9.74,15.56,1142.63,3.90,6.85,221.30
01.07.2016 18:40:00,987.37,26.11,300.36,13.51,45.75,33.89,15.50,18.38,9.82,15.70,1142.51,3.79,6.04,217.60
01.07.2016 18:50:00,987.34,25.67,299.92,13.09,45.71,33.02,15.09,17.92,9.56,15.28,1144.34,4.33,7.04,220.60
01.07.2016 19:00:00,987.32,25.40,299.65,13.31,47.11,32.49,15.31,17.18,9.70,15.50,1145.26,3.60,5.64,229.00
01.07.2016 19:10:00,987.40,24.87,299.11,13.40,48.89,31.48,15.39,16.09,9.75,15.59,1147.35,3.17,5.04,239.40
01.07.2016 19:20:00,987.50,24.43,298.66,13.28,49.80,30.67,15.27,15.39,9.68,15.47,1149.21,3.01,4.32,241.00
01.07.2016 19:30:00,987.63,24.10,298.32,13.38,51.15,30.07,15.38,14.69,9.74,15.57,1150.59,3.28,5.04,238.70
01.07.2016 19:40:00,987.64,23.76,297.98,13.43,52.35,29.46,15.42,14.04,9.77,15.61,1151.91,3.85,5.04,232.80
01.07.2016 19:50:00,987.70,23.46,297.67,13.41,53.25,28.93,15.41,13.53,9.76,15.60,1153.15,3.34,4.68,239.10
01.07.2016 20:00:00,987.82,23.20,297.40,13.46,54.28,28.48,15.46,13.02,9.79,15.65,1154.28,2.13,3.56,237.80
01.07.2016 20:10:00,987.89,22.69,296.88,13.59,56.43,27.62,15.58,12.03,9.87,15.77,1156.29,1.35,2.36,217.20
01.07.2016 20:20:00,987.94,22.36,296.55,13.62,57.69,27.07,15.62,11.45,9.89,15.81,1157.63,1.75,3.00,215.50
01.07.2016 20:30:00,988.08,22.09,296.26,13.59,58.55,26.63,15.59,11.04,9.87,15.78,1158.86,2.32,3.16,222.20
01.07.2016 20:40:00,988.21,21.77,295.93,13.58,59.66,26.11,15.58,10.53,9.86,15.76,1160.28,2.04,3.52,221.10
01.07.2016 20:50:00,988.26,21.10,295.26,13.63,62.36,25.06,15.63,9.43,9.90,15.82,1162.96,2.15,3.04,217.70
01.07.2016 21:00:00,988.36,20.84,294.99,13.47,62.70,24.67,15.47,9.20,9.79,15.65,1164.18,1.75,2.80,226.60
01.07.2016 21:10:00,988.37,20.83,294.98,13.35,62.25,24.65,15.35,9.31,9.71,15.53,1164.28,2.15,3.36,237.40
01.07.2016 21:20:00,988.38,20.98,295.12,13.31,61.52,24.88,15.31,9.57,9.69,15.49,1163.72,2.37,3.48,242.40
01.07.2016 21:30:00,988.40,20.77,294.91,13.29,62.23,24.56,15.28,9.28,9.67,15.46,1164.59,2.19,3.24,243.50
01.07.2016 21:40:00,988.39,20.33,294.47,13.27,63.87,23.90,15.27,8.64,9.66,15.45,1166.33,2.43,3.36,224.80
01.07.2016 21:50:00,988.38,20.01,294.15,13.26,65.09,23.43,15.25,8.18,9.66,15.43,1167.59,2.83,3.68,223.90
01.07.2016 22:00:00,988.33,19.58,293.72,13.22,66.69,22.82,15.22,7.60,9.63,15.40,1169.27,3.40,4.08,222.50
01.07.2016 22:10:00,988.28,19.60,293.75,13.19,66.49,22.85,15.19,7.66,9.62,15.37,1169.14,3.55,3.88,227.90
01.07.2016 22:20:00,988.22,19.53,293.68,13.20,66.79,22.75,15.19,7.55,9.62,15.37,1169.35,3.50,3.80,236.10
01.07.2016 22:30:00,988.14,19.68,293.84,13.22,66.26,22.96,15.21,7.75,9.63,15.40,1168.64,3.31,3.90,242.10
01.07.2016 22:40:00,988.10,19.65,293.81,13.22,66.41,22.92,15.22,7.70,9.64,15.40,1168.71,3.11,3.72,240.50
01.07.2016 22:50:00,988.05,19.38,293.55,13.20,67.41,22.54,15.19,7.34,9.62,15.38,1169.74,2.80,3.36,239.60
01.07.2016 23:00:00,988.05,19.26,293.43,13.15,67.71,22.37,15.15,7.22,9.59,15.33,1170.24,3.16,3.96,238.60
01.07.2016 23:10:00,988.06,19.59,293.76,13.12,66.20,22.83,15.11,7.72,9.57,15.30,1168.95,3.12,3.50,232.30
01.07.2016 23:20:00,988.11,19.33,293.49,13.13,67.31,22.47,15.12,7.34,9.57,15.30,1170.05,2.66,3.72,239.70
01.07.2016 23:30:00,988.02,18.96,293.13,13.14,68.93,21.95,15.13,6.82,9.58,15.32,1171.42,1.18,1.76,245.90
01.07.2016 23:40:00,987.94,18.52,292.69,13.10,70.70,21.36,15.10,6.26,9.56,15.28,1173.10,0.91,1.72,211.00
01.07.2016 23:50:00,987.91,18.41,292.59,13.06,71.00,21.21,15.06,6.15,9.54,15.24,1173.53,1.66,2.60,212.00
02.07.2016 00:00:00,987.93,18.50,292.67,13.11,70.80,21.33,15.10,6.23,9.56,15.29,1173.17,1.13,2.00,202.70
02.07.2016 00:10:00,987.85,18.24,292.42,13.11,72.00,20.99,15.11,5.88,9.57,15.30,1174.12,0.85,1.84,198.20
02.07.2016 00:20:00,987.83,18.14,292.32,13.12,72.50,20.85,15.12,5.74,9.58,15.31,1174.49,0.97,1.72,196.20
02.07.2016 00:30:00,987.73,18.08,292.27,13.07,72.50,20.78,15.06,5.71,9.54,15.25,1174.64,1.31,2.80,182.70
02.07.2016 00:40:00,987.65,18.06,292.26,13.07,72.60,20.75,15.06,5.69,9.54,15.25,1174.62,1.09,1.76,188.40
02.07.2016 00:50:00,987.58,17.98,292.18,13.03,72.80,20.65,15.03,5.62,9.52,15.22,1174.88,1.26,2.52,155.10
02.07.2016 01:00:00,987.52,17.75,291.96,13.04,73.90,20.35,15.04,5.31,9.53,15.23,1175.73,0.87,1.40,199.60
02.07.2016 01:10:00,987.43,17.76,291.97,13.05,73.90,20.36,15.05,5.31,9.53,15.24,1175.58,0.64,1.66,184.80
02.07.2016 01:20:00,987.38,17.70,291.92,13.03,74.10,20.29,15.03,5.25,9.52,15.22,1175.77,0.63,2.36,174.50
02.07.2016 01:30:00,987.27,17.43,291.66,13.00,75.20,19.94,15.00,4.95,9.50,15.19,1176.75,0.63,1.76,187.00
02.07.2016 01:40:00,987.13,17.06,291.30,13.02,77.10,19.48,15.02,4.46,9.52,15.22,1178.07,1.06,2.12,135.40
02.07.2016 01:50:00,986.97,16.96,291.21,13.00,77.50,19.36,15.00,4.36,9.51,15.20,1178.29,1.21,2.06,155.10
02.07.2016 02:00:00,986.76,17.04,291.31,13.02,77.20,19.46,15.02,4.44,9.52,15.22,1177.70,1.17,2.54,161.50
02.07.2016 02:10:00,986.57,16.99,291.27,13.05,77.60,19.39,15.05,4.34,9.54,15.26,1177.67,0.90,1.68,111.80
02.07.2016 02:20:00,986.55,16.89,291.18,12.96,77.60,19.27,14.96,4.32,9.48,15.16,1178.09,1.21,3.48,107.10
02.07.2016 02:30:00,986.48,16.45,290.74,12.92,79.60,18.74,14.92,3.82,9.46,15.12,1179.81,2.37,3.58,128.90
02.07.2016 02:40:00,986.38,16.12,290.42,12.90,81.20,18.35,14.90,3.45,9.45,15.11,1181.05,1.07,2.92,144.20
02.07.2016 02:50:00,986.29,16.00,290.30,12.88,81.70,18.21,14.88,3.33,9.44,15.08,1181.44,0.60,1.02,243.80
02.07.2016 03:00:00,986.19,15.80,290.11,12.83,82.50,17.98,14.83,3.15,9.41,15.04,1182.16,0.55,1.06,226.80
02.07.2016 03:10:00,986.07,15.82,290.14,12.83,82.40,18.00,14.83,3.17,9.41,15.04,1181.93,0.42,0.76,264.80
02.07.2016 03:20:00,986.00,15.84,290.17,12.85,82.40,18.02,14.85,3.17,9.42,15.06,1181.76,0.28,0.56,37.32
02.07.2016 03:30:00,985.93,15.77,290.10,12.78,82.40,17.94,14.79,3.16,9.38,15.00,1181.99,0.42,0.96,217.50
02.07.2016 03:40:00,985.87,15.71,290.05,12.83,83.00,17.88,14.84,3.04,9.41,15.05,1182.14,1.67,2.12,227.20
02.07.2016 03:50:00,985.78,16.15,290.50,12.85,80.80,18.39,14.86,3.53,9.43,15.07,1180.22,1.13,1.82,209.10
02.07.2016 04:00:00,985.66,16.35,290.71,12.92,80.10,18.62,14.92,3.71,9.47,15.13,1179.24,1.23,2.00,188.00
02.07.2016 04:10:00,985.56,16.36,290.73,12.91,80.00,18.63,14.91,3.73,9.46,15.13,1179.08,1.52,2.72,188.90
02.07.2016 04:20:00,985.55,16.17,290.54,12.87,80.80,18.41,14.87,3.53,9.44,15.09,1179.86,1.73,3.16,180.40
02.07.2016 04:30:00,985.57,16.38,290.75,12.93,80.00,18.66,14.93,3.73,9.47,15.14,1179.00,2.42,3.88,165.30
02.07.2016 04:40:00,985.61,16.68,291.04,12.99,78.80,19.02,14.99,4.03,9.51,15.20,1177.80,1.24,1.84,145.70
02.07.2016 04:50:00,985.61,16.59,290.95,12.98,79.20,18.91,14.98,3.93,9.51,15.19,1178.17,0.57,1.02,183.60
02.07.2016 05:00:00,985.54,16.37,290.74,12.95,80.20,18.65,14.95,3.69,9.49,15.17,1178.99,0.73,1.40,196.90
02.07.2016 05:10:00,985.66,16.42,290.78,13.04,80.40,18.70,15.04,3.67,9.55,15.26,1178.89,0.65,1.44,235.80
02.07.2016 05:20:00,985.68,17.43,291.79,13.28,76.60,19.94,15.28,4.67,9.70,15.50,1174.71,0.27,0.56,221.30
02.07.2016 05:30:00,985.56,18.38,292.76,13.50,73.20,21.17,15.50,5.67,9.84,15.72,1170.64,1.03,1.92,163.00
02.07.2016 05:40:00,985.46,17.93,292.31,13.40,74.80,20.58,15.39,5.19,9.77,15.62,1172.38,1.42,3.28,172.60
02.07.2016 05:50:00,985.41,17.09,291.47,13.17,77.70,19.52,15.17,4.35,9.63,15.39,1175.82,1.38,3.44,140.90
02.07.2016 06:00:00,985.41,17.05,291.43,13.29,78.50,19.47,15.28,4.19,9.70,15.51,1175.92,0.51,1.36,176.50
02.07.2016 06:10:00,985.35,17.01,291.40,13.37,79.10,19.42,15.36,4.06,9.75,15.59,1175.98,0.74,1.28,154.40
02.07.2016 06:20:00,985.36,17.12,291.51,13.41,78.80,19.56,15.41,4.15,9.78,15.64,1175.52,1.49,2.36,162.50
02.07.2016 06:30:00,985.33,17.75,292.14,13.55,76.40,20.35,15.55,4.80,9.87,15.78,1172.88,1.67,2.84,178.30
02.07.2016 06:40:00,985.23,18.93,293.34,13.95,72.80,21.91,15.95,5.96,10.13,16.19,1167.84,1.00,2.12,172.20
02.07.2016 06:50:00,985.20,19.69,294.10,14.27,70.90,22.97,16.29,6.69,10.35,16.53,1164.62,1.61,2.64,177.90
02.07.2016 07:00:00,985.28,20.01,294.42,14.24,69.40,23.43,16.26,7.17,10.33,16.51,1163.46,1.95,3.00,175.10
02.07.2016 07:10:00,985.35,20.07,294.47,14.12,68.57,23.52,16.13,7.39,10.24,16.37,1163.36,2.07,3.76,178.50
02.07.2016 07:20:00,985.41,19.83,294.22,14.17,69.83,23.17,16.18,6.99,10.28,16.42,1164.36,1.58,3.26,182.80
02.07.2016 07:30:00,985.43,19.97,294.36,14.27,69.69,23.38,16.29,7.09,10.35,16.53,1163.78,1.57,3.12,188.10
02.07.2016 07:40:00,985.40,20.31,294.71,14.37,68.67,23.87,16.39,7.48,10.41,16.64,1162.35,0.95,2.04,151.50
02.07.2016 07:50:00,985.48,20.66,295.05,14.58,68.14,24.39,16.62,7.77,10.56,16.87,1160.96,0.91,2.42,172.90
02.07.2016 08:00:00,985.57,21.18,295.57,14.95,67.57,25.19,17.02,8.17,10.81,17.27,1158.84,2.17,5.79,213.00
02.07.2016 08:10:00,985.56,21.62,296.01,15.10,66.45,25.87,17.19,8.68,10.92,17.45,1157.02,3.31,5.78,199.20
02.07.2016 08:20:00,985.68,21.76,296.14,15.11,65.91,26.10,17.20,8.90,10.93,17.45,1156.61,3.71,5.28,207.30
02.07.2016 08:30:00,985.71,21.83,296.21,15.02,65.23,26.21,17.10,9.11,10.86,17.34,1156.41,4.87,7.03,202.70
